rank,title,score,daily_audience,total_audience,release_date,href,id,genre,grade,time,director,expert_score,nation,c_datetime,b_date
1,스파이더맨: 브랜드 뉴 데이,7.33,2062445, 5446618, 2026-07-29,/movie/info/?movie_id=63091,63091,"판타지,어드벤처,액션",12세이상관람가,144분,데스틴크리튼,7.33,미국,2026-08-09 10:16:56,2026-08-09
2,오디세이,7.55,1374672, 1375296, 2026-08-05,/movie/info/?movie_id=62585,62585,"액션,모험,드라마",15세이상관람가,172분,크리스토퍼놀란,7.55,미국,2026-08-09 10:16:57,2026-08-09
3,사랑의 하츄핑: 고래보석의 전설,7.00,283502, 310000, 2026-08-05,/movie/info/?movie_id=63075,63075,애니메이션,전체관람가,105분,김수훈,7.00,한국,2026-08-09 10:16:58,2026-08-09
4,호프,6.83,250833, 4361291, 2026-07-15,/movie/info/?movie_id=62480,62480,"액션,스릴러,SF",15세이상관람가,156분,나홍진,6.83,한국,2026-08-09 10:17:00,2026-08-09
5,미니언즈 & 몬스터즈,6.50,44321, 758390, 2026-07-15,/movie/info/?movie_id=63032,63032,애니메이션,전체관람가,89분,피에르코팽,6.50,미국,2026-08-09 10:17:01,2026-08-09
6,토이 스토리 5,6.83,25254, 2937083, 2026-06-17,/movie/info/?movie_id=62799,62799,애니메이션,전체관람가,101분,앤드류스탠튼,6.83,미국,2026-08-09 10:17:02,2026-08-09
7,어떻게 해야 했을까?,6.50,21727, 45735, 2026-07-29,/movie/info/?movie_id=63282,63282,다큐멘터리,12세이상관람가,101분,후지노토모아키,6.50,일본,2026-08-09 10:17:03,2026-08-09
8,모아나,5.67,20305, 1019810, 2026-07-08,/movie/info/?movie_id=62818,62818,"어드벤처,액션",전체관람가,115분,토마스케일,5.67,미국,2026-08-09 10:17:04,2026-08-09
9,다윗,5.00,17655, 281029, 2026-07-10,/movie/info/?movie_id=63108,63108,애니메이션,전체관람가,109분,필커닝햄,5.00,미국,2026-08-09 10:17:06,2026-08-09
10,오케이 마담2,5.00,6004, 9411, 2026-08-12,/movie/info/?movie_id=63240,63240,코미디,15세이상관람가,108분,이철하,5.00,한국,2026-08-09 10:17:07,2026-08-09
