rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
6,-1,OLD,20262902,다윗,2026-07-10,47140850,2.7,-153002490,-76.4,2204854030,5037,-15778,-75.8,225388,307,379,2026-07-27,2026-08-09 10:17:40
7,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,33524130,1.9,-23802690,-41.5,252320440,3741,-2501,-40.1,28145,337,431,2026-07-27,2026-08-09 10:17:40
8,0,NEW,20255484,오케이 마담2,2026-08-12,26952000,1.5,26952000,100.0,29553000,2952,2952,100.0,3241,12,15,2026-07-27,2026-08-09 10:17:40
9,0,OLD,20252402,군체,2026-05-21,8301600,0.5,-3457900,-29.4,62699752740,812,-319,-28.2,5950776,126,143,2026-07-27,2026-08-09 10:17:40
10,-2,OLD,20263530,마티 슈프림,2026-07-01,7342100,0.4,-17421450,-70.4,1364544180,704,-1173,-62.5,126011,53,61,2026-07-27,2026-08-09 10:17:40
1,0,OLD,20233219,호프,2026-07-15,1023927630,58.5,-33631850,-3.2,39342390210,100147,-3256,-3.1,3619220,2108,7258,2026-07-28,2026-08-09 10:17:39
2,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,204457520,11.7,1676620,0.8,6153528100,22067,666,3.1,606430,806,1886,2026-07-28,2026-08-09 10:17:39
3,0,OLD,20259946,모아나,2026-07-08,148370140,8.5,2520850,1.7,10053999810,15557,508,3.4,939841,724,1441,2026-07-28,2026-08-09 10:17:39
4,0,OLD,20259781,토이 스토리 5,2026-06-17,119485840,6.8,7230740,6.4,29455092700,12498,977,8.5,2861138,536,884,2026-07-28,2026-08-09 10:17:39
5,0,OLD,20242402,눈동자,2026-06-24,67535250,3.9,-1162750,-1.7,15731696790,6533,-165,-2.5,1524845,525,881,2026-07-28,2026-08-09 10:17:39
6,0,OLD,20262902,다윗,2026-07-10,49701550,2.8,2560700,5.4,2254555580,5472,435,8.6,230860,315,388,2026-07-28,2026-08-09 10:17:39
7,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,28063810,1.6,-5460320,-16.3,280384250,3166,-575,-15.4,31311,323,414,2026-07-28,2026-08-09 10:17:39
8,0,NEW,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,17586000,1.0,17586000,100.0,17586000,1254,1254,100.0,1254,3,5,2026-07-28,2026-08-09 10:17:39
9,0,OLD,20252402,군체,2026-05-21,9713100,0.6,1411500,17.0,62709465840,967,155,19.1,5951743,128,149,2026-07-28,2026-08-09 10:17:39
10,2,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,8649000,0.5,4149000,92.2,48689000,961,461,92.2,4951,5,5,2026-07-28,2026-08-09 10:17:39
1,7,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,6889595590,83.2,6872009590,39076.6,6907181590,688406,687152,54796.8,689660,2304,9082,2026-07-29,2026-08-09 10:17:38
2,-1,OLD,20233219,호프,2026-07-15,831962150,10.0,-191965480,-18.7,40174352360,87892,-12255,-12.2,3707112,1023,2901,2026-07-29,2026-08-09 10:17:38
3,-1,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,192344300,2.3,-12113220,-5.9,6345872400,21655,-412,-1.9,628085,692,1065,2026-07-29,2026-08-09 10:17:38
4,-1,OLD,20259946,모아나,2026-07-08,100993520,1.2,-47376620,-31.9,10154993330,11102,-4455,-28.6,950943,471,656,2026-07-29,2026-08-09 10:17:38
5,-1,OLD,20259781,토이 스토리 5,2026-06-17,84644220,1.0,-34841620,-29.2,29539736920,9231,-3267,-26.1,2870369,320,385,2026-07-29,2026-08-09 10:17:38
6,0,NEW,20264148,어떻게 해야 했을까?,2026-07-29,35015300,0.4,35015300,100.0,37759300,3694,3694,100.0,4086,61,77,2026-07-29,2026-08-09 10:17:38
7,-1,OLD,20262902,다윗,2026-07-10,33863540,0.4,-15838010,-31.9,2288419120,3669,-1803,-32.9,234529,139,157,2026-07-29,2026-08-09 10:17:38
8,-1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,22357400,0.3,-5706410,-20.3,302741650,2522,-644,-20.3,33833,224,231,2026-07-29,2026-08-09 10:17:38
9,-4,OLD,20242402,눈동자,2026-06-24,24170260,0.3,-43364990,-64.2,15755867050,2488,-4045,-61.9,1527333,199,232,2026-07-29,2026-08-09 10:17:38
10,5,OLD,20242837,왕과 사는 남자,2026-02-04,6874000,0.1,3505000,104.0,163215573840,1004,503,100.4,16916280,12,12,2026-07-29,2026-08-09 10:17:38
