rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20255381,위키드: 포 굿,2025-11-19,306957480,32.2,-1075891710,-77.8,5903859060,30179,-103773,-77.5,567541,1405,4391,2025-11-24,2026-08-15 16:16:42
2,0,OLD,20258383,나우 유 씨 미 3,2025-11-12,273025210,28.6,-606360200,-69,9934829440,29408,-60887,-67.4,1042693,830,2638,2025-11-24,2026-08-15 16:16:42
3,0,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,79798520,8.4,-145833050,-64.6,34586615470,8300,-13956,-62.7,3284576,609,1125,2025-11-24,2026-08-15 16:16:42
4,0,OLD,20257161,국보,2025-11-19,61321850,6.4,-63382070,-50.8,624808100,6639,-6153,-48.1,64969,505,791,2025-11-24,2026-08-15 16:16:42
5,2,OLD,20247429,세계의 주인,2025-10-22,38236190,4.0,-30134270,-44.1,1281908100,3905,-2695,-40.8,132012,125,184,2025-11-24,2026-08-15 16:16:42
6,0,OLD,20243405,나혼자 프린스,2025-11-19,29384360,3.1,-44051740,-60,353993310,3283,-4442,-57.5,39155,422,781,2025-11-24,2026-08-15 16:16:42
7,-2,OLD,20254375,프레데터: 죽음의 땅,2025-11-05,29122860,3.1,-53518140,-64.8,4185670310,3148,-5436,-63.3,412776,360,517,2025-11-24,2026-08-15 16:16:42
8,1,OLD,20253852,퍼스트 라이드,2025-10-29,19517500,2.0,-24149500,-55.3,6751448090,2278,-2325,-50.5,731385,264,360,2025-11-24,2026-08-15 16:16:42
9,-1,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,14539600,1.5,-36479800,-71.5,60889791690,1501,-3748,-71.4,5648282,150,168,2025-11-24,2026-08-15 16:16:42
10,1,OLD,19980126,가타카,1998-05-02,8837240,0.9,-21038960,-70.4,91241020,926,-1598,-63.3,8158,72,113,2025-11-24,2026-08-15 16:16:42
