rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,2331854220,75.4,-3023686850,-56.5,20295758970,215368,-283568,-56.8,1864445,2011,7013,2025-08-25,2026-08-15 16:19:29
2,0,OLD,20241941,좀비딸,2025-07-30,275759600,8.9,-765328860,-73.5,47767013350,28928,-78156,-73,5032480,777,2210,2025-08-25,2026-08-15 16:19:29
3,0,OLD,20254501,F1 더 무비,2025-06-25,201183230,6.5,-407736350,-67,48815019550,20195,-39703,-66.3,4525603,623,1369,2025-08-25,2026-08-15 16:19:29
4,0,OLD,20256701,긴키 지방의 어느 장소에 대하여,2025-08-13,68443960,2.2,-122041460,-64.1,2000319170,6675,-11785,-63.8,195248,305,458,2025-08-25,2026-08-15 16:19:29
5,0,OLD,20210546,악마가 이사왔다,2025-08-13,50166500,1.6,-123369130,-71.1,3667726050,5390,-11756,-68.6,383997,479,661,2025-08-25,2026-08-15 16:19:29
6,4,OLD,20255937,어글리 시스터,2025-08-20,15494200,0.5,-12393700,-44.4,189301600,1493,-1174,-44,18961,156,208,2025-08-25,2026-08-15 16:19:29
7,2,OLD,20231024,온리 갓 노우즈 에브리띵,2025-08-22,10538200,0.3,-17180300,-62,137942700,1266,-1586,-55.6,15323,239,292,2025-08-25,2026-08-15 16:19:29
8,3,OLD,20251543,독립군: 끝나지 않은 전쟁,2025-08-13,11456600,0.4,-12114500,-51.4,299169820,1243,-1397,-52.9,32828,139,170,2025-08-25,2026-08-15 16:19:29
9,3,OLD,20248711,발레리나,2025-08-06,10060500,0.3,-11837800,-54.1,3136326770,1024,-1094,-51.7,315120,110,135,2025-08-25,2026-08-15 16:19:29
10,-4,OLD,20254275,킹 오브 킹스,2025-07-16,9245200,0.3,-105745000,-92,12075415536,1004,-10989,-91.6,1279126,160,168,2025-08-25,2026-08-15 16:19:29
