rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20256396,아바타: 불과 재,2025-12-17,7314982110,50.6,3938812650,116.7,34358865820,640291,341152,114,2982886,1998,6384,2025-12-25,2026-08-15 16:14:13
2,0,OLD,20252432,주토피아 2,2025-11-26,4220061110,29.2,2990142690,243.1,67773867300,431302,300000,228.5,7030038,1356,5050,2025-12-25,2026-08-15 16:14:13
3,0,OLD,20254219,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2025-12-24,1156432890,8.0,542790730,88.5,1795968050,115268,51350,80.3,182063,794,1714,2025-12-25,2026-08-15 16:14:13
4,0,OLD,20259383,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,1080467730,7.5,708274260,190.3,1563914230,113600,74065,187.3,163297,735,1774,2025-12-25,2026-08-15 16:14:13
5,1,OLD,20258808,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,257858860,1.8,224291460,668.2,1537880360,28011,23459,515.4,176262,469,595,2025-12-25,2026-08-15 16:14:13
6,-1,OLD,20249326,윗집 사람들,2025-12-03,63797260,0.4,8961360,16.3,5134275060,6276,470,8.1,531277,156,194,2025-12-25,2026-08-15 16:14:13
7,8,OLD,20253906,프레디의 피자가게 2,2025-12-03,43149460,0.3,34177460,380.9,2212546780,4467,3507,365.3,224914,67,88,2025-12-25,2026-08-15 16:14:13
8,1,OLD,20249255,만약에 우리,2025-12-31,39461300,0.3,15632400,65.6,156195200,3255,962,42,15673,24,26,2025-12-25,2026-08-15 16:14:13
9,-1,OLD,20255381,위키드: 포 굿,2025-11-19,26310100,0.2,4231000,19.2,9771062790,2616,197,8.1,957054,38,44,2025-12-25,2026-08-15 16:14:13
10,-3,OLD,20258621,척의 일생,2025-12-24,24986050,0.2,-7459150,-23,76227750,2559,-965,-27.4,7686,143,160,2025-12-25,2026-08-15 16:14:13
