rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20252432,주토피아 2,2025-11-26,1207486370,54.8,-198834660,-14.1,25570668660,128427,-20809,-13.9,2678560,1675,6399,2025-12-04,2026-08-15 16:16:36
2,0,OLD,20258739,극장판 주술회전: 시부야사변 X 사멸회유,2025-12-03,224413160,10.2,-303762570,-57.5,788460830,22473,-29893,-57.1,77784,733,1830,2025-12-04,2026-08-15 16:16:36
3,0,OLD,20249326,윗집 사람들,2025-12-03,194658610,8.8,-32484460,-14.3,518250120,21533,-3892,-15.3,56038,753,1749,2025-12-04,2026-08-15 16:16:36
4,0,OLD,20233259,정보원,2025-12-03,153184560,7.0,-27848940,-15.4,443064410,17561,-3165,-15.3,47528,741,1508,2025-12-04,2026-08-15 16:16:36
5,1,OLD,20255381,위키드: 포 굿,2025-11-19,80151630,3.6,2362760,3,8444529030,8210,375,4.8,821654,543,785,2025-12-04,2026-08-15 16:16:36
6,1,OLD,20258383,나우 유 씨 미 3,2025-11-12,71962600,3.3,4617830,6.9,12283513550,7998,638,8.7,1298373,509,742,2025-12-04,2026-08-15 16:16:36
7,-2,OLD,20253906,프레디의 피자가게 2,2025-12-03,72398550,3.3,-54439460,-42.9,200514560,7409,-5687,-43.4,20647,542,1076,2025-12-04,2026-08-15 16:16:36
8,0,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,32045420,1.5,-30213470,-48.5,35427109800,3178,-3014,-48.7,3369723,212,237,2025-12-04,2026-08-15 16:16:36
9,2,OLD,20257161,국보,2025-11-19,25981700,1.2,-1993100,-7.1,1234057970,2758,-238,-7.9,131472,228,247,2025-12-04,2026-08-15 16:16:36
10,0,OLD,20259618,콘크리트 마켓,2025-12-03,16842100,0.8,-10933500,-39.4,57080700,2388,-1499,-38.6,7891,172,319,2025-12-04,2026-08-15 16:16:36
