rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20242837,왕과 사는 남자,2026-02-04,367575210,29.0,-103117400,-21.9,152628121280,39303,-10973,-21.8,15821390,1340,4614,2026-04-02,2026-08-11 11:43:39
2,0,OLD,20261782,프로젝트 헤일메리,2026-03-18,351881680,27.7,-86069910,-19.7,14876165240,31886,-7976,-20,1306469,1166,2987,2026-04-02,2026-08-11 11:43:39
3,71,OLD,20192680,끝장수사,2026-04-02,123343600,9.7,123217600,97791.7,129274600,13957,13942,92946.7,14617,648,1563,2026-04-02,2026-08-11 11:43:39
4,-1,OLD,20261666,네가 마지막으로 남긴 노래,2026-04-01,49742770,3.9,-55121280,-52.6,171332120,5257,-6157,-53.9,18224,489,1031,2026-04-02,2026-08-11 11:43:39
5,-1,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,58475500,4.6,-30000000,-33.9,62017520850,4370,-2280,-34.3,5750628,90,275,2026-04-02,2026-08-11 11:43:39
6,-1,OLD,20261906,명탐정 코난: 세기말의 마술사,2026-03-27,32466300,2.6,3089750,10.5,679566750,3315,356,12,65204,183,297,2026-04-02,2026-08-11 11:43:39
7,0,NEW,20262463,오피셜히게단디즘 라이브 앳 스타디움 2025,2026-04-02,79407500,6.3,79407500,100,79407500,3178,3178,100,3178,58,84,2026-04-02,2026-08-11 11:43:39
8,-1,OLD,20256283,호퍼스,2026-03-04,12088700,1.0,-6608070,-35.3,7058457410,1266,-596,-32,715938,196,218,2026-04-02,2026-08-11 11:43:39
9,16,OLD,20247648,내 이름은,2026-04-15,10881000,0.9,8280000,318.3,13482000,1209,920,318.3,1498,4,5,2026-04-02,2026-08-11 11:43:39
10,-4,OLD,20262101,킬 빌: 더 홀 블러디 어페어,2026-04-01,20604300,1.6,-36548100,-63.9,92491000,1047,-1876,-64.2,4780,80,111,2026-04-02,2026-08-11 11:43:39
