rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20252432,주토피아 2,2025-11-26,1464831980,74.5,-5043954480,-77.5,21618184690,152584,-511753,-77,2259450,1872,7839,2025-12-01,2026-08-15 16:16:38
2,1,OLD,20258383,나우 유 씨 미 3,2025-11-12,149432070,7.6,-275122080,-64.8,12012010480,16221,-28229,-63.5,1268313,721,1857,2025-12-01,2026-08-15 16:16:38
3,-1,OLD,20255381,위키드: 포 굿,2025-11-19,116259930,5.9,-376885260,-76.4,8171544830,11878,-36139,-75.3,793806,815,1741,2025-12-01,2026-08-15 16:16:38
4,0,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,54198050,2.8,-70586250,-56.6,35280515740,5423,-7084,-56.6,3355106,454,646,2025-12-01,2026-08-15 16:16:38
5,0,OLD,20257161,국보,2025-11-19,47791820,2.4,-42249860,-46.9,1133346810,5250,-4079,-43.7,120576,374,531,2025-12-01,2026-08-15 16:16:38
6,1,OLD,20247429,세계의 주인,2025-10-22,16048500,0.8,-21778850,-57.6,1500820410,1734,-2122,-55,155098,114,192,2025-12-01,2026-08-15 16:16:38
7,2,OLD,20242374,한란,2025-11-26,10612300,0.5,-12403860,-53.9,133219410,1278,-1292,-50.3,16603,213,266,2025-12-01,2026-08-15 16:16:38
8,0,NEW,20259618,콘크리트 마켓,2025-12-03,9399000,0.5,9399000,100,12463000,1233,1233,100,1616,4,7,2025-12-01,2026-08-15 16:16:38
9,2,OLD,20125316,석류의 빛깔 ,2025-11-26,8837600,0.4,-8252800,-48.3,111506100,930,-614,-39.8,11045,50,65,2025-12-01,2026-08-15 16:16:38
10,-4,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,8926700,0.5,-47136240,-84.1,61045580620,924,-4446,-82.8,5663621,81,91,2025-12-01,2026-08-15 16:16:38
