rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20242837,왕과 사는 남자,2026-02-04,3442266110,52.2,1980539830,135.5,139465153280,346538,198804,134.6,14447625,1725,7465,2026-03-21,2026-08-15 16:05:02
2,0,OLD,20261782,프로젝트 헤일메리,2026-03-18,2180500350,33.0,1229290730,129.2,4626345010,190040,110737,139.6,400624,1325,4284,2026-03-21,2026-08-15 16:05:02
3,0,OLD,20256283,호퍼스,2026-03-04,391199800,5.9,307792400,369,6005080090,40650,32372,391.1,606576,726,1594,2026-03-21,2026-08-15 16:05:02
4,0,OLD,20253101,극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,127986000,1.9,40516500,46.3,10158077660,10157,3445,51.3,979632,60,139,2026-03-21,2026-08-15 16:05:02
5,0,OLD,20241575,메소드연기,2026-03-18,98243430,1.5,39018310,65.9,326748290,9772,3261,50.1,35130,482,670,2026-03-21,2026-08-15 16:05:02
6,0,OLD,20232662,삼악도,2026-03-11,43231500,0.7,14689500,51.5,722986700,4403,1392,46.2,78125,181,254,2026-03-21,2026-08-15 16:05:02
7,0,OLD,20261804,폭탄,2026-03-18,30445800,0.5,7855900,34.8,110708900,3707,789,27,14974,170,269,2026-03-21,2026-08-15 16:05:02
8,0,NEW,20261906,명탐정 코난: 세기말의 마술사,2026-03-27,29055600,0.4,29055600,100,29055600,2186,2186,100,2186,13,15,2026-03-21,2026-08-15 16:05:02
9,0,OLD,20261437,녹나무의 파수꾼,2026-03-18,19450600,0.3,9692180,99.3,54011580,1979,935,89.6,5691,265,307,2026-03-21,2026-08-15 16:05:02
10,0,OLD,19950084,쇼생크 탈출,1995-02-04,16139900,0.2,5262700,48.4,544621686,1394,407,41.2,61972,55,60,2026-03-21,2026-08-15 16:05:02
