rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20254121,살목지,2026-04-08,593089560,43.4,-100310060,-14.5,10238172860,58662,-10081,-14.7,989721,1322,4732,2026-04-16,2026-08-11 11:43:32
2,1,OLD,20242837,왕과 사는 남자,2026-02-04,170766100,12.5,-13744130,-7.4,159093813540,19251,-1171,-5.7,16484555,769,2011,2026-04-16,2026-08-11 11:43:32
3,-1,OLD,20261782,프로젝트 헤일메리,2026-03-18,220868640,16.2,-15045340,-6.4,23982628650,19228,-2110,-9.9,2127383,932,2328,2026-04-16,2026-08-11 11:43:32
4,0,OLD,20247648,내 이름은,2026-04-15,117996340,8.6,-24113840,-17,339927520,13799,-3270,-19.2,39188,667,1566,2026-04-16,2026-08-11 11:43:32
5,0,OLD,20070602,마녀배달부 키키,2007-11-22,31878240,2.3,-81453010,-71.9,728042094,3043,-6778,-69,80606,326,484,2026-04-16,2026-08-11 11:43:32
6,0,NEW,20262811,"극장판 총집편 걸즈 밴드 크라이 있잖아, 미래.",2026-04-16,30334020,2.2,30334020,100,30334020,2920,2920,100,2920,100,136,2026-04-16,2026-08-11 11:43:32
7,-1,OLD,20262383,쉘터,2026-04-15,18448800,1.4,-7084500,-27.7,43982100,2840,-949,-25,6629,167,284,2026-04-16,2026-08-11 11:43:32
8,0,NEW,20240532,짱구,2026-04-22,25128000,1.8,25128000,100,27729000,2792,2792,100,3081,13,14,2026-04-16,2026-08-11 11:43:32
9,-1,OLD,20261622,위 리브 인 타임,2026-04-08,11511550,0.8,-1897750,-14.2,202516000,1890,-392,-17.2,27087,127,171,2026-04-16,2026-08-11 11:43:32
10,0,OLD,20259339,힌드의 목소리,2026-04-15,11371300,0.8,-2955850,-20.6,55985720,1368,-374,-21.5,5960,105,135,2026-04-16,2026-08-11 11:43:32
