rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20242837,왕과 사는 남자,2026-02-04,733675220,51.1,-81960920,-10,144071325670,78589,-7300,-8.5,14921486,1550,6041,2026-03-24,2026-08-15 16:05:00
2,0,OLD,20261782,프로젝트 헤일메리,2026-03-18,466788900,32.5,-35071120,-7,7418660320,40107,-2502,-5.9,644079,1273,3591,2026-03-24,2026-08-15 16:05:00
3,0,OLD,20256283,호퍼스,2026-03-04,39292200,2.7,1561650,4.1,6465004220,4279,421,10.9,654565,422,601,2026-03-24,2026-08-15 16:05:00
4,0,OLD,20241575,메소드연기,2026-03-18,28070570,2.0,3439370,14,465596060,3392,619,22.3,49887,430,582,2026-03-24,2026-08-15 16:05:00
5,0,NEW,20254121,살목지,2026-04-08,26792000,1.9,26792000,100,26792000,2784,2784,100,2784,13,15,2026-03-24,2026-08-15 16:05:00
6,-1,OLD,20253101,극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,26269500,1.8,-3295400,-11.1,10334289760,2166,-245,-10.2,993991,58,133,2026-03-24,2026-08-15 16:05:00
7,-1,OLD,20232662,삼악도,2026-03-11,10580800,0.7,-1094500,-9.4,784703700,1008,-68,-6.3,84641,155,206,2026-03-24,2026-08-15 16:05:00
8,-1,OLD,20261804,폭탄,2026-03-18,8619900,0.6,-352800,-3.9,156927100,876,-19,-2.1,20385,152,229,2026-03-24,2026-08-15 16:05:00
9,5,OLD,20241266,휴민트,2026-02-11,7063800,0.5,3076000,77.1,19979047710,748,327,77.7,1979498,112,120,2026-03-24,2026-08-15 16:05:00
10,-1,OLD,20060033,오만과 편견,2006-03-24,6415600,0.4,1046500,19.5,5764352900,618,83,15.5,907384,75,110,2026-03-24,2026-08-15 16:05:00
