rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,NEW,20259781,토이 스토리 5,2026-06-17,997525790,50.1,997525790,100,1021342790,94694,94694,100,96231,1538,6104,2026-06-17,2026-08-15 15:58:26
2,-1,OLD,20252402,군체,2026-05-21,308726760,15.5,-15481880,-4.8,56045116040,30906,-1116,-3.5,5309617,936,2808,2026-06-17,2026-08-15 15:58:26
3,-1,OLD,20248252,와일드 씽,2026-06-03,235659920,11.8,-137010,-0.1,9134774920,25267,283,1.1,943640,786,2312,2026-06-17,2026-08-15 15:58:26
4,-1,OLD,20263030,백룸,2026-05-27,106129420,5.3,-25723140,-19.5,10738123440,9898,-2342,-19.1,1010092,513,908,2026-06-17,2026-08-15 15:58:26
5,9,OLD,20248484,신사: 악귀의 속삭임,2026-06-17,66759450,3.4,58139450,674.5,86055450,7145,6507,1019.9,8897,207,403,2026-06-17,2026-08-15 15:58:26
6,-2,OLD,20250655,디스클로저 데이,2026-06-10,53877390,2.7,-51774310,-49,2393718410,5600,-4376,-43.9,220612,569,849,2026-06-17,2026-08-15 15:58:26
7,-1,OLD,20261766,상자 속의 양,2026-06-10,31614840,1.6,4050020,14.7,462141860,3661,593,19.3,50775,224,276,2026-06-17,2026-08-15 15:58:26
8,0,NEW,20149629,비긴 어게인,2014-08-13,34177750,1.7,34177750,100,29618610321,3115,3115,100,3716553,119,192,2026-06-17,2026-08-15 15:58:26
9,-4,OLD,20259626,마이클,2026-05-13,19571530,1.0,-17401590,-47.1,17576777290,1880,-1683,-47.2,1597676,207,246,2026-06-17,2026-08-15 15:58:26
10,1,OLD,20163018,싱 스트리트,2016-05-19,15871900,0.8,3426650,27.5,4748074022,1603,292,22.3,593628,78,96,2026-06-17,2026-08-15 15:58:26
