rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20254121,살목지,2026-04-08,491825750,34.4,56402390,13,16929844700,48405,5005,11.5,1640299,1150,4090,2026-04-23,2026-08-11 11:43:28
2,1,OLD,20240532,짱구,2026-04-22,191648240,13.4,-54372650,-22.1,489803930,20639,-6209,-23.1,52532,678,1584,2026-04-23,2026-08-11 11:43:28
3,-1,OLD,20262685,란 12.3,2026-04-22,170903750,11.9,-200512760,-54,553383260,17231,-19806,-53.5,55309,787,1990,2026-04-23,2026-08-11 11:43:28
4,0,OLD,20261782,프로젝트 헤일메리,2026-03-18,177415070,12.4,-24713490,-12.2,26653146190,15223,-2433,-13.8,2361911,721,1664,2026-04-23,2026-08-11 11:43:28
5,0,OLD,20242837,왕과 사는 남자,2026-02-04,103385170,7.2,1307410,1.3,160608754050,11285,392,3.6,16639638,642,1346,2026-04-23,2026-08-11 11:43:28
6,0,OLD,20247648,내 이름은,2026-04-15,61750050,4.3,-11831400,-16.1,1189297940,7089,-1244,-14.9,134073,532,903,2026-04-23,2026-08-11 11:43:28
7,0,OLD,20262657,리 크로닌의 미이라,2026-04-22,46734280,3.3,-18946810,-28.8,125220370,4459,-1919,-30.1,12111,346,561,2026-04-23,2026-08-11 11:43:28
8,95,OLD,20088147,줄무늬 파자마를 입은 소년,2026-04-23,19611100,1.4,19585100,75327.3,23448700,3270,3267,108900,3604,153,213,2026-04-23,2026-08-11 11:43:28
9,-1,OLD,20262775,기동전사 건담: 섬광의 하사웨이 키르케의 마녀,2026-04-22,39252000,2.7,-38944000,-49.8,117448000,2539,-2537,-50,7615,90,149,2026-04-23,2026-08-11 11:43:28
10,1,OLD,20262639,노멀,2026-04-17,9932100,0.7,541300,5.8,92062200,1744,100,6.1,13827,91,108,2026-04-23,2026-08-11 11:43:28
