rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,1129519280,45.6,451357580,66.6,38483242470,100151,37453,59.7,3558667,1486,4865,2025-09-05,2026-08-15 16:18:51
2,0,OLD,20256702,컨저링: 마지막 의식,2025-09-03,395645550,16.0,108814620,37.9,1083354790,38202,9668,33.9,106662,839,1959,2025-09-05,2026-08-15 16:18:51
3,0,NEW,20233039,살인자 리포트,2025-09-05,347284730,14.0,347284730,100,372394730,36081,36081,100,38871,749,2647,2025-09-05,2026-08-15 16:18:51
4,-1,OLD,20254501,F1 더 무비,2025-06-25,174907920,7.1,42560410,32.2,51962360520,17289,4059,30.7,4843146,617,1194,2025-09-05,2026-08-15 16:18:51
5,-1,OLD,20241941,좀비딸,2025-07-30,147751490,6.0,28125790,23.5,51400915580,15723,2736,21.1,5424890,696,1486,2025-09-05,2026-08-15 16:18:51
6,0,OLD,20256281,첫사랑 엔딩,2025-08-27,46550620,1.9,13944220,42.8,841638390,4764,1296,37.4,89150,268,353,2025-09-05,2026-08-15 16:18:51
7,-2,OLD,20256071,투게더,2025-09-03,33246200,1.3,-1639400,-4.7,147571900,3646,-869,-19.2,18665,228,508,2025-09-05,2026-08-15 16:18:51
8,0,NEW,20240206,전력질주,2025-09-10,18692900,0.8,18692900,100,18692900,1813,1813,100,1813,5,7,2025-09-05,2026-08-15 16:18:51
9,-1,OLD,20256701,긴키 지방의 어느 장소에 대하여,2025-08-13,18292180,0.7,5146280,39.1,2673908670,1705,398,30.5,261888,143,173,2025-09-05,2026-08-15 16:18:51
10,-3,OLD,20210546,악마가 이사왔다,2025-08-13,9537200,0.4,-3281500,-25.6,4044632110,1127,-407,-26.5,426282,74,87,2025-09-05,2026-08-15 16:18:51
