rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20252432,주토피아 2,2025-11-26,918744700,58.2,-3938796690,-81.1,38744843780,96969,-402236,-80.6,4028185,1699,6705,2025-12-08,2026-08-15 16:15:30
2,0,OLD,20249326,윗집 사람들,2025-12-03,192842250,12.2,-308117650,-61.5,1973800680,20548,-30198,-59.5,206049,681,1745,2025-12-08,2026-08-15 16:15:30
3,0,OLD,20258739,극장판 주술회전: 시부야사변 X 사멸회유,2025-12-03,108400700,6.9,-342905700,-76,2173886210,10661,-32083,-75.1,210141,644,1510,2025-12-08,2026-08-15 16:15:30
4,2,OLD,20233259,정보원,2025-12-03,61518500,3.9,-96022130,-61,1005606510,7046,-9673,-57.9,108310,627,1195,2025-12-08,2026-08-15 16:15:30
5,0,OLD,20255381,위키드: 포 굿,2025-11-19,57957700,3.7,-127076410,-68.7,9001267520,6131,-12370,-66.9,877223,485,692,2025-12-08,2026-08-15 16:15:30
6,-2,OLD,20253906,프레디의 피자가게 2,2025-12-03,55570900,3.5,-186113330,-77,907983810,5633,-18911,-77,91767,481,792,2025-12-08,2026-08-15 16:15:30
7,0,OLD,20258383,나우 유 씨 미 3,2025-11-12,39095800,2.5,-55859600,-58.8,12602960470,4224,-5352,-55.9,1330935,417,585,2025-12-08,2026-08-15 16:15:30
8,1,OLD,20257161,국보,2025-11-19,26153400,1.7,-19624160,-42.9,1386007250,2763,-1814,-39.6,146717,234,262,2025-12-08,2026-08-15 16:15:30
9,-1,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,26231680,1.7,-36658840,-58.3,35699740540,2601,-3543,-57.7,3396021,207,241,2025-12-08,2026-08-15 16:15:30
10,2,OLD,20247429,세계의 주인,2025-10-22,11187470,0.7,-6468630,-36.6,1605859740,1269,-507,-28.5,166061,109,135,2025-12-08,2026-08-15 16:15:30
