rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,5793484750,79.4,1141888450,24.5,17352262640,526066,84516,19.1,1657276,2275,9373,2026-07-31,2026-08-09 10:17:37
2,0,OLD,20233219,호프,2026-07-15,835668800,11.4,171061180,25.7,41674628780,81496,13873,20.5,3856231,1005,2980,2026-07-31,2026-08-09 10:17:37
3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,190221930,2.6,2406670,1.3,6723909590,20042,-568,-2.8,668737,726,1110,2026-07-31,2026-08-09 10:17:37
4,0,OLD,20259946,모아나,2026-07-08,112605600,1.5,1662250,1.5,10378542280,11630,-252,-2.1,974455,480,705,2026-07-31,2026-08-09 10:17:37
5,0,OLD,20259781,토이 스토리 5,2026-06-17,102040720,1.4,7724900,8.2,29736093460,10380,413,4.1,2890716,395,472,2026-07-31,2026-08-09 10:17:37
6,1,OLD,20262902,다윗,2026-07-10,59424000,0.8,23293200,64.5,2383973920,6272,2436,63.5,244637,186,207,2026-07-31,2026-08-09 10:17:37
7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,45668700,0.6,6420780,16.4,122675920,4351,438,11.2,12350,61,94,2026-07-31,2026-08-09 10:17:37
8,1,OLD,20242402,눈동자,2026-06-24,25475350,0.3,-1282250,-4.8,15808100000,2375,-305,-11.4,1532388,200,246,2026-07-31,2026-08-09 10:17:37
9,-1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,17893270,0.2,-11534950,-39.2,350063140,1943,-1501,-43.6,39220,173,178,2026-07-31,2026-08-09 10:17:37
10,0,NEW,20265254,투모로우바이투게더 브이알 콘서트 : 엔드리스 라이드,2026-07-31,52001000,0.7,52001000,100,52001000,1469,1469,100,1469,2,14,2026-07-31,2026-08-09 10:17:37
