rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,1177289660,34.4,739063100,168.6,26355697950,108873,68288,168.3,2479990,932,3687,2025-10-25,2026-08-15 16:17:03
2,0,OLD,20257570,8번 출구,2025-10-22,589221670,17.2,321651010,120.2,1283568620,57533,31248,118.9,132748,781,2794,2025-10-25,2026-08-15 16:17:03
3,2,OLD,20090284,코렐라인,2009-05-21,245522500,7.2,141286500,135.5,1990333200,24217,14050,138.2,278594,318,962,2025-10-25,2026-08-15 16:17:03
4,-1,OLD,20228988,보스,2025-10-03,222988900,6.5,65464360,41.6,22685819140,22632,5771,34.2,2359097,760,2092,2025-10-25,2026-08-15 16:17:03
5,-1,OLD,20243561,어쩔수가없다,2025-09-24,191258600,5.6,70622700,58.5,27925132580,19102,6792,55.2,2852783,752,1645,2025-10-25,2026-08-15 16:17:03
6,1,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,203946020,6.0,139273260,215.4,59529403170,18511,12238,195.1,5513150,500,759,2025-10-25,2026-08-15 16:17:03
7,-1,OLD,20257658,극장판 주술회전: 회옥·옥절,2025-10-16,146406120,4.3,83124480,131.4,1802005220,14661,8347,132.2,179715,598,1215,2025-10-25,2026-08-15 16:17:03
8,0,OLD,20256397,원 배틀 애프터 어나더,2025-10-01,116560000,3.4,50626580,76.8,5184414220,10487,4555,76.8,485331,477,705,2025-10-25,2026-08-15 16:17:03
9,0,OLD,20247429,세계의 주인,2025-10-22,80621700,2.4,30088360,59.5,205452930,8143,2684,49.2,22450,352,454,2025-10-25,2026-08-15 16:17:03
10,1,OLD,20256684,웨폰,2025-10-15,41323460,1.2,15306060,58.8,730302350,3962,1479,59.6,73110,295,362,2025-10-25,2026-08-15 16:17:03
