rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20252432,주토피아 2,2025-11-26,1647740230,68.6,-843348820,-33.9,4159868280,172048,-137120,-44.4,482999,1943,7769,2025-11-27,2026-08-15 16:16:40
2,0,OLD,20258383,나우 유 씨 미 3,2025-11-12,208031130,8.7,-63716190,-23.4,10689774870,22414,-12629,-36,1129954,775,1991,2025-11-27,2026-08-15 16:16:40
3,0,OLD,20255381,위키드: 포 굿,2025-11-19,180130720,7.5,-101472420,-36,6654556180,18213,-15912,-46.6,648576,936,2140,2025-11-27,2026-08-15 16:16:40
4,1,OLD,20257161,국보,2025-11-19,59007400,2.5,-12308900,-17.3,819414310,6596,-2655,-28.7,87863,364,498,2025-11-27,2026-08-15 16:16:40
5,-1,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,56325320,2.3,-28508160,-33.6,34809115690,5847,-4052,-40.9,3308760,449,642,2025-11-27,2026-08-15 16:16:40
6,0,OLD,20242374,한란,2025-11-26,20885900,0.9,-3580300,-14.6,55519700,3042,-416,-12,7603,255,340,2025-11-27,2026-08-15 16:16:40
7,0,OLD,20247429,세계의 주인,2025-10-22,23661540,1.0,-2868060,-10.8,1371064290,2417,-910,-27.4,141727,120,172,2025-11-27,2026-08-15 16:16:40
8,26,OLD,20249326,윗집 사람들,2025-12-03,20817000,0.9,18810000,937.2,52893000,2313,2090,937.2,5373,11,11,2025-11-27,2026-08-15 16:16:40
9,0,OLD,20243405,나혼자 프린스,2025-11-19,18768600,0.8,57300,0.3,427806610,2070,-327,-13.6,47987,217,293,2025-11-27,2026-08-15 16:16:40
10,0,OLD,20253852,퍼스트 라이드,2025-10-29,19067400,0.8,6521100,52,6806403890,1959,74,3.9,737835,58,68,2025-11-27,2026-08-15 16:16:40
