rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20252432,주토피아 2,2025-11-26,4857541390,71.2,-671593290,-12.1,37826099080,499205,-64330,-11.4,3931216,2240,9920,2025-12-07,2026-08-15 16:15:31
2,1,OLD,20249326,윗집 사람들,2025-12-03,500959900,7.3,7788090,1.6,1780958430,50746,568,1.1,185501,730,1527,2025-12-07,2026-08-15 16:15:31
3,-1,OLD,20258739,극장판 주술회전: 시부야사변 X 사멸회유,2025-12-03,451306400,6.6,-104721390,-18.8,2065485510,42744,-10461,-19.7,199480,728,1705,2025-12-07,2026-08-15 16:15:31
4,0,OLD,20253906,프레디의 피자가게 2,2025-12-03,241684230,3.5,-45171590,-15.7,852412910,24544,-4303,-14.9,86134,523,857,2025-12-07,2026-08-15 16:15:31
5,0,OLD,20255381,위키드: 포 굿,2025-11-19,185034110,2.7,-32662900,-15,8943309820,18501,-2918,-13.6,871092,458,645,2025-12-07,2026-08-15 16:15:31
6,0,OLD,20233259,정보원,2025-12-03,157540630,2.3,-29783380,-15.9,944088010,16719,-3061,-15.5,101264,651,1164,2025-12-07,2026-08-15 16:15:31
7,1,OLD,20258383,나우 유 씨 미 3,2025-11-12,94955400,1.4,-20555420,-17.8,12563864670,9576,-1905,-16.6,1326711,387,521,2025-12-07,2026-08-15 16:15:31
8,-1,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,62890520,0.9,-87892600,-58.3,35673508860,6144,-8341,-57.6,3393420,221,251,2025-12-07,2026-08-15 16:15:31
9,1,OLD,20257161,국보,2025-11-19,45777560,0.7,-75460,-0.2,1359853850,4577,62,1.4,143954,164,178,2025-12-07,2026-08-15 16:15:31
10,-1,OLD,20259618,콘크리트 마켓,2025-12-03,37594500,0.6,-16166800,-30.1,167152600,3470,-1627,-31.9,19039,191,253,2025-12-07,2026-08-15 16:15:31
