rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20249255,만약에 우리,2025-12-31,781639300,25.6,413214290,112.2,22034420360,78952,42107,114.3,2258904,939,3463,2026-01-31,2026-08-11 11:44:16
2,0,OLD,20247457,신의악단,2025-12-31,556384300,18.2,323382120,138.8,8271865450,58132,33694,137.9,868616,806,2210,2026-01-31,2026-08-11 11:44:16
3,0,OLD,20256396,아바타: 불과 재,2025-12-17,376313590,12.3,214216690,132.2,77795820820,29770,17351,139.7,6655401,628,1286,2026-01-31,2026-08-11 11:44:16
4,0,OLD,20250644,직장상사 길들이기,2026-01-28,150824840,4.9,74893450,98.6,407990210,15291,7566,97.9,44401,661,1412,2026-01-31,2026-08-11 11:44:16
5,5,OLD,20250482,"신비아파트 10주년 극장판: 한 번 더, 소환",2026-01-14,136311360,4.5,104965800,334.9,2486100470,15180,11718,338.5,278188,508,772,2026-01-31,2026-08-11 11:44:16
6,2,OLD,20252432,주토피아 2,2025-11-26,126610370,4.2,87808600,226.3,82344813470,12943,8847,216,8556229,479,687,2026-01-31,2026-08-11 11:44:16
7,-2,OLD,20250686,하우스메이드,2026-01-28,115330310,3.8,49986810,76.5,332248740,12160,5101,72.3,37259,540,1003,2026-01-31,2026-08-11 11:44:16
8,-2,OLD,20247690,시스터,2026-01-28,106469240,3.5,56126940,111.5,301203210,11488,5753,100.3,35406,601,1307,2026-01-31,2026-08-11 11:44:16
9,6,OLD,20040549,천공의 성 라퓨타,2004-04-30,89130060,2.9,66079120,286.7,831962630,8808,6501,281.8,91585,174,218,2026-01-31,2026-08-11 11:44:16
10,-1,OLD,20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,74130300,2.4,38596100,108.6,12480711209,7359,3896,112.5,1238600,175,282,2026-01-31,2026-08-11 11:44:16
