rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20259626,마이클,2026-05-13,2384957140,51.9,1373262510,135.7,5289483720,204422,117500,135.2,468867,1696,6808,2026-05-16,2026-08-11 11:43:14
2,2,OLD,20259773,슈퍼 마리오 갤럭시,2026-04-29,559033840,12.2,468707910,518.9,13636424770,55266,46037,498.8,1410419,902,2198,2026-05-16,2026-08-11 11:43:14
3,-1,OLD,20259791,악마는 프라다를 입는다 2,2026-04-29,562367290,12.2,226706620,67.5,14076795890,49883,19365,63.5,1404042,870,2621,2026-05-16,2026-08-11 11:43:14
4,-1,OLD,20254121,살목지,2026-04-08,432101080,9.4,210224150,94.7,32190005670,38823,18814,94,3137577,751,2170,2026-05-16,2026-08-11 11:43:14
5,0,OLD,20261782,프로젝트 헤일메리,2026-03-18,180963400,3.9,88113810,94.9,32155884170,15867,7481,89.2,2834020,437,623,2026-05-16,2026-08-11 11:43:14
6,4,OLD,20194376,탑건: 매버릭,2022-06-22,90978610,2.0,51664110,131.4,88720393354,7199,4138,135.2,8264510,133,207,2026-05-16,2026-08-11 11:43:14
7,0,OLD,20252801,교생실습,2026-05-13,47693350,1.0,19939100,71.8,149058050,5250,1872,55.4,17913,237,350,2026-05-16,2026-08-11 11:43:14
8,1,OLD,20240532,짱구,2026-04-22,49866370,1.1,18711750,60.1,3893678820,4684,1604,52.1,399181,284,408,2026-05-16,2026-08-11 11:43:14
9,-3,OLD,20242837,왕과 사는 남자,2026-02-04,49144000,1.1,10002880,25.6,162735155620,4664,509,12.3,16859025,249,328,2026-05-16,2026-08-11 11:43:14
10,-2,OLD,20040695,이프 온리,2004-10-29,51651810,1.1,14009100,37.2,7100382380,4475,1288,40.4,1050770,232,291,2026-05-16,2026-08-11 11:43:14
