rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20249255,만약에 우리,2025-12-31,309411370,27.0,-15884860,-4.9,20229666030,31908,-1518,-4.5,2066354,926,3325,2026-01-27,2026-08-11 11:44:18
2,0,OLD,20247457,신의악단,2025-12-31,221545310,19.3,-6537760,-2.9,7024030630,24067,-186,-0.8,731773,678,1766,2026-01-27,2026-08-11 11:44:18
3,0,OLD,20256396,아바타: 불과 재,2025-12-17,154431650,13.5,-10201170,-6.2,77003786200,12618,-509,-3.9,6590585,687,1515,2026-01-27,2026-08-11 11:44:18
4,0,OLD,20249624,프로젝트 Y,2026-01-21,68976170,6.0,-269330,-0.4,1145483530,7363,143,2,116465,656,1660,2026-01-27,2026-08-11 11:44:18
5,19,OLD,20242837,왕과 사는 남자,2026-02-04,53615000,4.7,51185000,2106.4,161532470,5943,5673,2101.1,15958,29,29,2026-01-27,2026-08-11 11:44:18
6,-1,OLD,20252432,주토피아 2,2025-11-26,53819370,4.7,2247570,4.4,82109680220,5821,386,7.1,8531271,470,690,2026-01-27,2026-08-11 11:44:18
7,-1,OLD,20250482,"신비아파트 10주년 극장판: 한 번 더, 소환",2026-01-14,35858700,3.1,2983030,9.1,2260368450,4061,376,10.2,252895,449,659,2026-01-27,2026-08-11 11:44:18
8,0,OLD,20250188,하트맨,2026-01-14,32972800,2.9,2865460,9.5,2197181650,3568,298,9.1,235159,456,748,2026-01-27,2026-08-11 11:44:18
9,-2,OLD,20040549,천공의 성 라퓨타,2004-04-30,34313170,3.0,1689270,5.2,652884790,3513,175,5.2,72633,394,579,2026-01-27,2026-08-11 11:44:18
10,-1,OLD,20259552,시라트,2026-01-21,25682200,2.2,479100,1.9,278881180,2904,321,12.4,28422,185,239,2026-01-27,2026-08-11 11:44:18
