rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20241941,좀비딸,2025-07-30,506850180,33.8,-75006060,-12.9,43923916500,53951,-7283,-11.9,4633958,1234,4949,2025-08-19,2026-08-15 16:20:42
2,0,OLD,20254501,F1 더 무비,2025-06-25,388850910,26.0,-13967640,-3.5,46201926700,34652,-2007,-5.5,4277284,878,2445,2025-08-19,2026-08-15 16:20:42
3,0,OLD,20210546,악마가 이사왔다,2025-08-13,138681960,9.3,-1395420,-1,2876727410,15336,137,0.9,300594,706,2281,2025-08-19,2026-08-15 16:20:42
4,0,OLD,20256701,긴키 지방의 어느 장소에 대하여,2025-08-13,106584850,7.1,-3850310,-3.5,1255759500,10584,-372,-3.4,123184,433,754,2025-08-19,2026-08-15 16:20:42
5,0,OLD,20248711,발레리나,2025-08-06,51198500,3.4,-3598500,-6.6,2964826830,5271,-387,-6.8,297810,514,829,2025-08-19,2026-08-15 16:20:42
6,0,OLD,20254275,킹 오브 킹스,2025-07-16,30358300,2.0,-79150,-0.3,11803221486,3350,87,2.7,1250331,350,428,2025-08-19,2026-08-15 16:20:42
7,0,OLD,20252680,스머프,2025-08-06,21193700,1.4,-1759000,-7.7,1429259450,2578,-86,-3.2,160471,294,333,2025-08-19,2026-08-15 16:20:42
8,1,OLD,20251543,독립군: 끝나지 않은 전쟁,2025-08-13,22936100,1.5,2333280,11.3,194961320,2476,159,6.9,21185,177,194,2025-08-19,2026-08-15 16:20:42
9,-1,OLD,20247460,배드 가이즈 2,2025-07-30,20632650,1.4,-1595050,-7.2,3371873640,2385,-137,-5.4,373623,273,311,2025-08-19,2026-08-15 16:20:42
10,1,OLD,20256522,백! 스테이지, ,11430000,0.8,3447000,43.2,19413000,2286,691,43.3,3881,25,42,2025-08-19,2026-08-15 16:20:42
