rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,7,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,6916002640,83.2,6898416640,39226.8,6933588640,690982,689728,55002.2,692236,2304,9082,2026-07-29,2026-08-11 11:42:31
2,-1,OLD,20233219,호프,2026-07-15,831962150,10.0,-192014480,-18.8,40174402360,87892,-12262,-12.2,3707119,1023,2901,2026-07-29,2026-08-11 11:42:31
3,-1,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,192344300,2.3,-12127220,-5.9,6345886400,21655,-414,-1.9,628087,692,1065,2026-07-29,2026-08-11 11:42:31
4,-1,OLD,20259946,모아나,2026-07-08,100993520,1.2,-47390620,-31.9,10155007330,11102,-4457,-28.6,950945,471,656,2026-07-29,2026-08-11 11:42:31
5,-1,OLD,20259781,토이 스토리 5,2026-06-17,84644220,1.0,-34841620,-29.2,29539736920,9231,-3267,-26.1,2870369,320,385,2026-07-29,2026-08-11 11:42:31
6,0,NEW,20264148,어떻게 해야 했을까?,2026-07-29,35015300,0.4,35015300,100,37759300,3694,3694,100,4086,61,77,2026-07-29,2026-08-11 11:42:31
7,-1,OLD,20262902,다윗,2026-07-10,33863540,0.4,-15838010,-31.9,2288419120,3669,-1803,-32.9,234529,139,157,2026-07-29,2026-08-11 11:42:31
8,-1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,22357400,0.3,-5706410,-20.3,302741650,2522,-644,-20.3,33833,224,231,2026-07-29,2026-08-11 11:42:31
9,-4,OLD,20242402,눈동자,2026-06-24,24170260,0.3,-43371990,-64.2,15755874050,2488,-4046,-61.9,1527334,199,232,2026-07-29,2026-08-11 11:42:31
10,5,OLD,20242837,왕과 사는 남자,2026-02-04,6874000,0.1,3505000,104,163215573840,1004,503,100.4,16916280,12,12,2026-07-29,2026-08-11 11:42:31
