rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20233219,호프,2026-07-15,3000925120,75.5,-667280240,-18.2,6904838480,274440,-59446,-17.8,625684,2424,8592,2026-07-16,2026-08-11 11:42:38
2,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,307914930,7.7,-20299340,-6.2,670019960,30647,-1078,-3.4,66209,893,2425,2026-07-16,2026-08-11 11:42:38
3,0,OLD,20259946,모아나,2026-07-08,191877660,4.8,57648160,42.9,6570680640,19016,5998,46.1,598540,709,1244,2026-07-16,2026-08-11 11:42:38
4,0,OLD,20242402,눈동자,2026-06-24,171895100,4.3,49024600,39.9,13937382830,16755,4896,41.3,1355650,626,989,2026-07-16,2026-08-11 11:42:38
5,0,OLD,20259781,토이 스토리 5,2026-06-17,116927250,2.9,33994630,41,27106464370,11751,3233,38,2635443,498,691,2026-07-16,2026-08-11 11:42:38
6,0,OLD,20262902,다윗,2026-07-10,42834450,1.1,7553100,21.4,932653230,4642,666,16.8,95198,321,372,2026-07-16,2026-08-11 11:42:38
7,2,OLD,20252402,군체,2026-05-21,20607100,0.5,9264050,81.7,62461029500,2069,947,84.4,5929581,142,164,2026-07-16,2026-08-11 11:42:38
8,-1,OLD,20263530,마티 슈프림,2026-07-01,17750400,0.4,-203500,-1.1,1190093210,1678,292,21.1,111233,60,67,2026-07-16,2026-08-11 11:42:38
9,8,OLD,20242837,왕과 사는 남자,2026-02-04,4391500,0.1,1595500,57.1,163192265340,662,229,52.9,16912665,14,14,2026-07-16,2026-08-11 11:42:38
10,4,OLD,20259551,파리의 사생활,2026-07-15,5229450,0.1,-1188300,-18.5,13285700,590,-81,-12.1,1391,30,32,2026-07-16,2026-08-11 11:42:38
