rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,1106837640,28.2,-276219210,-20,19648636390,104389,-24922,-19.3,1836627,998,3005,2025-10-12,2026-08-15 16:17:49
2,0,OLD,20228988,보스,2025-10-03,910364380,23.2,-285655570,-23.9,19679258100,93257,-29582,-24.1,2036562,1130,4757,2025-10-12,2026-08-15 16:17:49
3,0,OLD,20243561,어쩔수가없다,2025-09-24,541121420,13.8,-199463270,-26.9,25801764190,54706,-20284,-27,2630421,982,2907,2025-10-12,2026-08-15 16:17:49
4,0,OLD,20256397,원 배틀 애프터 어나더,2025-10-01,272730090,6.9,-91067280,-25,3897148920,27053,-8842,-24.6,367357,657,1052,2025-10-12,2026-08-15 16:17:49
5,0,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,243771230,6.2,-29104180,-10.7,58380933050,24287,-2748,-10.2,5399097,592,877,2025-10-12,2026-08-15 16:17:49
6,0,OLD,20254021,트론: 아레스,2025-10-08,180895600,4.6,-59713800,-24.8,1568479180,15717,-4850,-23.6,140013,722,1386,2025-10-12,2026-08-15 16:17:49
7,1,OLD,20256526,브레드이발소: 베이커리타운의 악당들,2025-09-27,105815800,2.7,4358200,4.3,2227945400,11752,528,4.7,250403,293,522,2025-10-12,2026-08-15 16:17:49
8,-1,OLD,20243864,연의 편지,2025-10-01,101378590,2.6,-7682980,-7,1708463140,10680,-683,-6,180779,423,521,2025-10-12,2026-08-15 16:17:49
9,1,OLD,20257208,개비의 매직하우스 극장판,2025-10-03,58039600,1.5,1118170,2,947294820,6263,181,3,101413,286,332,2025-10-12,2026-08-15 16:17:49
10,1,OLD,20249641,나쁜계집애: 달려라 하니,2025-10-07,45623680,1.2,-4708760,-9.4,443832330,4800,-508,-9.6,49192,414,470,2025-10-12,2026-08-15 16:17:49
