rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20252432,주토피아 2,2025-11-26,1245770740,58.0,342753800,38,40893631460,131348,35072,36.4,4255809,1748,6888,2025-12-10,2026-08-15 16:15:28
2,0,OLD,20249326,윗집 사람들,2025-12-03,194315070,9.1,2787120,1.5,2359643700,20869,314,1.5,247473,688,1840,2025-12-10,2026-08-15 16:15:28
3,1,OLD,20258739,극장판 주술회전: 시부야사변 X 사멸회유,2025-12-03,114068290,5.3,17461530,18.1,2384561260,11782,2147,22.3,231558,629,1337,2025-12-10,2026-08-15 16:15:28
4,1,OLD,20253906,프레디의 피자가게 2,2025-12-03,73938600,3.4,12207000,19.8,1043654010,7665,1297,20.4,105800,383,562,2025-12-10,2026-08-15 16:15:28
5,-2,OLD,20233259,정보원,2025-12-03,68542500,3.2,-16901500,-19.8,1159593010,7480,-2394,-24.2,125664,495,747,2025-12-10,2026-08-15 16:15:28
6,47,OLD,20256025,더 러닝 맨,2025-12-10,69483860,3.2,68740860,9251.8,81614860,7260,7214,15682.6,8463,557,1224,2025-12-10,2026-08-15 16:15:28
7,-1,OLD,20255381,위키드: 포 굿,2025-11-19,51573440,2.4,-1474940,-2.8,9105889340,5710,185,3.3,888458,367,494,2025-12-10,2026-08-15 16:15:28
8,-1,OLD,20258383,나우 유 씨 미 3,2025-11-12,48424500,2.3,3176200,7,12696633270,5428,322,6.3,1341469,308,380,2025-12-10,2026-08-15 16:15:28
9,0,NEW,20242541,룩백,2024-09-05,39938860,1.9,39938860,100,3017664474,4093,4093,100,313985,43,74,2025-12-10,2026-08-15 16:15:28
10,0,NEW,20254054,여행과 나날,2025-12-10,34455600,1.6,34455600,100,54170100,3786,3786,100,5525,136,163,2025-12-10,2026-08-15 16:15:28
