rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,1,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,485139100,27.9,192579640,65.8,21505587010,44906,16516,58.2,2014329,812,2796,2025-10-17,2026-08-15 16:17:07
2,1,OLD,20228988,보스,2025-10-03,273686230,15.7,70277210,34.5,20898920240,29483,6808,30,2169185,864,2768,2025-10-17,2026-08-15 16:17:07
3,-2,OLD,20257658,극장판 주술회전: 회옥·옥절,2025-10-16,199647660,11.5,-115741620,-36.7,649900170,19390,-12943,-40,63449,722,2101,2025-10-17,2026-08-15 16:17:07
4,0,OLD,20243561,어쩔수가없다,2025-09-24,184050250,10.6,39806450,27.6,26613551200,19201,3303,20.8,2717665,799,1961,2025-10-17,2026-08-15 16:17:07
5,0,OLD,20256397,원 배틀 애프터 어나더,2025-10-01,125168570,7.2,35020420,38.8,4370135570,10555,2589,32.5,411029,542,1038,2025-10-17,2026-08-15 16:17:07
6,0,OLD,20256684,웨폰,2025-10-15,97901690,5.6,26037050,36.2,286174950,9677,2163,28.8,29500,551,1117,2025-10-17,2026-08-15 16:17:07
7,0,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,74900660,4.3,25679210,52.2,58713790680,7320,2272,45,5432686,465,659,2025-10-17,2026-08-15 16:17:07
8,1,OLD,20243864,연의 편지,2025-10-01,42015760,2.4,21916700,109,1843291940,4693,2416,106.1,195694,306,355,2025-10-17,2026-08-15 16:17:07
9,1,OLD,20254021,트론: 아레스,2025-10-08,32807370,1.9,12966570,65.4,1758687270,3378,1265,59.9,158573,354,443,2025-10-17,2026-08-15 16:17:07
10,-2,OLD,20257728,중간계,2025-10-15,17253000,1.0,-277100,-1.6,75891900,2922,-114,-3.8,12365,217,426,2025-10-17,2026-08-15 16:17:07
