rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,8,OLD,20250654,오디세이,2026-08-05,3136533240,44.7,3123852240,24634.1,3165924240,292706,291641,27384.1,295073,1682,5036,2026-08-05,2026-08-15 15:57:01
2,-1,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2725260730,38.9,-905968540,-24.9,46393821200,275167,-73120,-21,4413554,1666,5657,2026-08-05,2026-08-15 15:57:01
3,7,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,659585480,9.4,648618680,5914.4,977591600,73165,72249,7887.4,100575,824,1751,2026-08-05,2026-08-15 15:57:01
4,-2,OLD,20233219,호프,2026-07-15,290926170,4.1,-291108970,-50,45769487860,30066,-31168,-50.9,4265771,690,1164,2026-08-05,2026-08-15 15:57:01
5,-2,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,45915250,0.7,-64496900,-58.4,7423102490,5297,-7040,-57.1,744028,302,340,2026-08-05,2026-08-15 15:57:01
6,1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,39024770,0.6,9517920,32.3,343582100,4132,1141,38.1,34278,74,140,2026-08-05,2026-08-15 15:57:01
7,-3,OLD,20259781,토이 스토리 5,2026-06-17,25988750,0.4,-47386990,-64.6,30122200660,2768,-5122,-64.9,2930324,150,162,2026-08-05,2026-08-15 15:57:01
8,-3,OLD,20259946,모아나,2026-07-08,19959260,0.3,-43587240,-68.6,10775431630,2325,-4539,-66.1,1016122,119,127,2026-08-05,2026-08-15 15:57:01
9,-3,OLD,20262902,다윗,2026-07-10,12720600,0.2,-15860600,-55.5,2634680790,1390,-1669,-54.6,270883,70,74,2026-08-05,2026-08-15 15:57:01
10,0,NEW,20262945,퍼피 구조대: 더 다이노 무비,2026-08-13,6714000,0.1,6714000,100,6714000,746,746,100,746,3,3,2026-08-05,2026-08-15 15:57:01
