rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20256396,아바타: 불과 재,2025-12-17,2059152600,48.6,-2148547960,-51.1,58676752450,168103,-189902,-53,5095646,1715,5316,2026-01-02,2026-08-15 16:13:25
2,0,OLD,20252432,주토피아 2,2025-11-26,637877960,15.0,-702558520,-52.4,76102930040,65880,-71533,-52.1,7908998,920,2696,2026-01-02,2026-08-15 16:13:25
3,0,OLD,20249255,만약에 우리,2025-12-31,632998370,14.9,-363138050,-36.5,2737298150,64445,-35614,-35.6,293640,880,2659,2026-01-02,2026-08-15 16:13:25
4,0,OLD,20254219,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2025-12-24,279702200,6.6,-257909400,-48,5498811550,28817,-24610,-46.1,571262,734,1492,2026-01-02,2026-08-15 16:13:25
5,0,OLD,20247457,신의악단,2025-12-31,145609300,3.4,-135539300,-48.2,622638860,15711,-14044,-47.2,70098,477,731,2026-01-02,2026-08-15 16:13:25
6,1,OLD,20259383,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,114647400,2.7,-123219040,-51.8,3467331240,11978,-12935,-51.9,364281,537,724,2026-01-02,2026-08-15 16:13:25
7,-1,OLD,20256173,스폰지밥 무비: 네모바지를 찾아서,2026-01-01,64098200,1.5,-168382760,-72.4,319734360,7121,-18083,-71.7,34689,459,556,2026-01-02,2026-08-15 16:13:25
8,0,NEW,20227798,에반게리온 신극장판: 파,2022-10-14,40969700,1.0,40969700,100,125332224,3764,3764,100,11784,40,50,2026-01-02,2026-08-15 16:13:25
9,-1,OLD,20258272,톰과 제리: 황금나침반 대소동,2026-01-01,32611400,0.8,-83417820,-71.9,153358620,3733,-9270,-71.3,17192,349,399,2026-01-02,2026-08-15 16:13:25
10,-1,OLD,20258808,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,31727500,0.7,-19229660,-37.7,1975566290,3511,-2097,-37.4,225122,189,203,2026-01-02,2026-08-15 16:13:25
