rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,22,OLD,20228988,보스,2025-10-03,2295221690,29.9,2292074690,72833.6,2344094190,238887,238506,62600,244156,1163,5416,2025-10-03,2026-08-15 16:17:55
2,-1,OLD,20243561,어쩔수가없다,2025-09-24,1786258180,23.3,931972000,109.1,15406119900,178346,88372,98.2,1577817,1133,3849,2025-10-03,2026-08-15 16:17:55
3,-1,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,1512793520,19.7,645881530,74.5,9166027300,138327,54650,65.3,864469,843,2861,2025-10-03,2026-08-15 16:17:55
4,-1,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,431416410,5.6,202230750,88.2,55349960890,41473,19005,84.6,5105173,538,795,2025-10-03,2026-08-15 16:17:55
5,5,OLD,20256526,브레드이발소: 베이커리타운의 악당들,2025-09-27,270930200,3.5,254253600,1524.6,1008977600,32326,30065,1329.7,112488,387,762,2025-10-03,2026-08-15 16:17:55
6,-2,OLD,20256397,원 배틀 애프터 어나더,2025-10-01,308248350,4.0,75408190,32.4,801486080,27679,5730,26.1,73404,553,778,2025-10-03,2026-08-15 16:17:55
7,-1,OLD,20243864,연의 편지,2025-10-01,201178650,2.6,72128550,55.9,559975950,21227,6851,47.7,60742,541,968,2025-10-03,2026-08-15 16:17:55
8,0,NEW,20257208,개비의 매직하우스 극장판,2025-10-03,176089090,2.3,176089090,100,281103090,18734,18734,100,29260,409,527,2025-10-03,2026-08-15 16:17:55
9,-4,OLD,20242964,얼굴,2025-09-11,166074840,2.2,13982100,9.2,10022423530,16885,1095,6.9,975914,504,709,2025-10-03,2026-08-15 16:17:55
10,0,NEW,20257729,배달의 영웅 : 캐리와 슈퍼콜라2,2025-10-03,60542800,0.8,60542800,100,64590800,6864,6864,100,7214,385,463,2025-10-03,2026-08-15 16:17:55
