rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20259946,모아나,2026-07-08,677949060,31.7,238308060,54.2,1798072870,58817,18930,47.5,166353,1329,5091,2026-07-10,2026-08-11 11:42:42
2,0,OLD,20242402,눈동자,2026-06-24,556516060,26.0,158659610,39.9,10854660870,50730,12605,33.1,1070163,956,3476,2026-07-10,2026-08-11 11:42:42
3,0,OLD,20259781,토이 스토리 5,2026-06-17,382208530,17.9,127935740,50.3,24358962490,36305,11680,47.4,2378087,745,2290,2026-07-10,2026-08-11 11:42:42
4,11,OLD,20262902,다윗,2026-07-10,81992220,3.8,75514220,1165.7,235386620,7840,7094,950.9,25634,547,1191,2026-07-10,2026-08-11 11:42:42
5,-1,OLD,20252402,군체,2026-05-21,87793600,4.1,9979010,12.8,61977004380,7837,456,6.2,5885136,501,789,2026-07-10,2026-08-11 11:42:42
6,-1,OLD,20248252,와일드 씽,2026-06-03,33009550,1.5,2700250,8.9,12814831940,3787,145,4,1324695,318,434,2026-07-10,2026-08-11 11:42:42
7,0,OLD,20263530,마티 슈프림,2026-07-01,39670100,1.9,9235400,30.3,960521510,3526,789,28.8,91330,202,231,2026-07-10,2026-08-11 11:42:42
8,-2,OLD,20264056,그린랜드 2: 마이그레이션,2026-07-01,25785900,1.2,-740300,-2.8,459576650,2819,-193,-6.4,48532,136,162,2026-07-10,2026-08-11 11:42:42
9,-1,OLD,20262651,하나 코리아,2026-07-08,19328800,0.9,1516750,8.5,77032600,2139,3,0.1,8404,140,192,2026-07-10,2026-08-11 11:42:42
10,0,OLD,20263030,백룸,2026-05-27,22060900,1.0,6847050,45,12835335860,1807,488,37,1202683,126,154,2026-07-10,2026-08-11 11:42:42
