rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20252432,주토피아 2,2025-11-26,1406321030,47.6,67644460,5.1,24363182290,149236,7789,5.5,2550133,1626,6352,2025-12-03,2026-08-15 16:16:36
2,6,OLD,20258739,극장판 주술회전: 시부야사변 X 사멸회유,2025-12-03,528175730,17.9,512401930,3248.4,564047670,52366,51080,3972,55311,733,1970,2025-12-03,2026-08-15 16:16:36
3,0,NEW,20249326,윗집 사람들,2025-12-03,227143070,7.7,227143070,100,323591510,25425,25425,100,34505,752,1765,2025-12-03,2026-08-15 16:16:36
4,0,NEW,20233259,정보원,2025-12-03,181033500,6.1,181033500,100,289879850,20726,20726,100,29967,766,1567,2025-12-03,2026-08-15 16:16:36
5,0,NEW,20253906,프레디의 피자가게 2,2025-12-03,126838010,4.3,126838010,100,128116010,13096,13096,100,13238,571,1288,2025-12-03,2026-08-15 16:16:36
6,-3,OLD,20255381,위키드: 포 굿,2025-11-19,77788870,2.6,-37254830,-32.4,8364377400,7835,-3968,-33.6,813444,547,775,2025-12-03,2026-08-15 16:16:36
7,-5,OLD,20258383,나우 유 씨 미 3,2025-11-12,67344770,2.3,-64850930,-49.1,12211550950,7360,-7342,-49.9,1290375,494,718,2025-12-03,2026-08-15 16:16:36
8,-4,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,62258890,2.1,9969140,19.1,35395064380,6192,945,18,3366545,215,234,2025-12-03,2026-08-15 16:16:36
9,0,NEW,20020234,반지의 제왕 : 두 개의 탑,2002-12-19,64339930,2.2,64339930,100,529080900,4360,4360,100,42495,12,46,2025-12-03,2026-08-15 16:16:36
10,0,NEW,20259618,콘크리트 마켓,2025-12-03,27775600,0.9,27775600,100,40238600,3887,3887,100,5503,188,344,2025-12-03,2026-08-15 16:16:36
