rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20256396,아바타: 불과 재,2025-12-17,708157290,37.0,-1710088940,-70.7,64939475670,58948,-142780,-70.8,5617107,1588,4409,2026-01-05,2026-08-15 16:13:23
2,0,OLD,20249255,만약에 우리,2025-12-31,457211870,23.9,-523663290,-53.4,5174399350,47857,-50808,-51.5,540971,826,2522,2026-01-05,2026-08-15 16:13:23
3,0,OLD,20252432,주토피아 2,2025-11-26,227374110,11.9,-561498470,-71.2,78077739520,23959,-57271,-70.5,8112600,786,2250,2026-01-05,2026-08-15 16:13:23
4,0,OLD,20254219,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2025-12-24,138911200,7.3,-308568190,-69,6499446460,14558,-29128,-66.7,671949,674,1353,2026-01-05,2026-08-15 16:13:23
5,0,OLD,20247457,신의악단,2025-12-31,121782000,6.4,-91805320,-43,1179612170,13325,-8492,-38.9,128472,499,757,2026-01-05,2026-08-15 16:13:23
6,0,OLD,20259383,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,49390150,2.6,-126200990,-71.9,3883439930,5216,-13362,-71.9,408252,440,581,2026-01-05,2026-08-15 16:13:23
7,0,NEW,20259641,송 썽 블루,2026-01-14,31969000,1.7,31969000,100,31969000,4567,4567,100,4567,19,19,2026-01-05,2026-08-15 16:13:23
8,-1,OLD,20256173,스폰지밥 무비: 네모바지를 찾아서,2026-01-01,21192400,1.1,-87073900,-80.4,566013470,2451,-9462,-79.4,62011,355,405,2026-01-05,2026-08-15 16:13:23
9,-1,OLD,20258808,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,14861620,0.8,-24783800,-62.5,2071865230,1728,-2597,-60,235684,168,177,2026-01-05,2026-08-15 16:13:23
10,0,OLD,20259893,화양연화 특별판,2025-12-31,16827900,0.9,-14179200,-45.7,280363752,1720,-1280,-42.7,28294,155,173,2026-01-05,2026-08-15 16:13:23
