rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20233219,호프,2026-07-15,3478833330,67.7,1820584730,109.8,34259826990,327565,173655,112.8,3129800,2258,8412,2026-07-25,2026-08-15 15:57:42
2,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,491546840,9.6,295456060,150.7,5268486180,49512,29555,148.1,514517,1004,2391,2026-07-25,2026-08-15 15:57:42
3,0,OLD,20259946,모아나,2026-07-08,364078680,7.1,203506080,126.7,9413013100,36157,20116,125.4,874433,843,1653,2026-07-25,2026-08-15 15:57:42
4,1,OLD,20259781,토이 스토리 5,2026-06-17,227164930,4.4,130106010,134,28994289160,22032,12576,133,2814634,640,1013,2026-07-25,2026-08-15 15:57:42
5,1,OLD,20262902,다윗,2026-07-10,193831670,3.8,143416970,284.5,1957569840,20331,14984,280.2,199536,460,581,2026-07-25,2026-08-15 15:57:42
6,-2,OLD,20242402,눈동자,2026-06-24,154391050,3.0,52149350,51,15456811170,14534,5003,52.5,1498540,563,906,2026-07-25,2026-08-15 15:57:42
7,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,51606640,1.0,24287590,88.9,161469490,5690,2322,68.9,18162,378,518,2026-07-25,2026-08-15 15:57:42
8,3,OLD,20263530,마티 슈프림,2026-07-01,20402700,0.4,10282600,101.6,1332438530,1579,633,66.9,123430,58,66,2026-07-25,2026-08-15 15:57:42
9,0,NEW,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,17138000,0.3,17138000,100,29963000,1558,1558,100,2983,6,6,2026-07-25,2026-08-15 15:57:42
10,-1,OLD,20252402,군체,2026-05-21,15958770,0.3,2725950,20.6,62679810640,1447,248,20.7,5948850,112,127,2026-07-25,2026-08-15 15:57:42
