rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20259781,토이 스토리 5,2026-06-17,973355600,45.9,310215830,46.8,2657838160,90267,27145,43,249620,1564,6209,2026-06-19,2026-08-15 15:58:15
2,0,OLD,20252402,군체,2026-05-21,408154250,19.2,111858060,37.8,56749566480,37964,8741,29.9,5376804,970,2896,2026-06-19,2026-08-15 15:58:15
3,0,OLD,20248252,와일드 씽,2026-06-03,252416210,11.9,31843010,14.4,9607764330,25202,1842,7.9,992202,820,2391,2026-06-19,2026-08-15 15:58:15
4,0,OLD,20263030,백룸,2026-05-27,170529910,8.0,54005880,46.3,11025177380,15036,4276,39.7,1035888,531,1005,2026-06-19,2026-08-15 15:58:15
5,1,OLD,20250655,디스클로저 데이,2026-06-10,48420390,2.3,2590330,5.7,2487968860,4478,-71,-1.6,229639,473,662,2026-06-19,2026-08-15 15:58:15
6,1,OLD,20248484,신사: 악귀의 속삭임,2026-06-17,38305400,1.8,487900,1.3,162178350,3734,-479,-11.4,16844,208,366,2026-06-19,2026-08-15 15:58:15
7,1,OLD,20261766,상자 속의 양,2026-06-10,30268850,1.4,-1001550,-3.2,523681110,3420,-216,-5.9,57831,224,264,2026-06-19,2026-08-15 15:58:15
8,2,OLD,20149629,비긴 어게인,2014-08-13,30885600,1.5,6740300,27.9,29673641221,2655,475,21.8,3721388,119,198,2026-06-19,2026-08-15 15:58:15
9,0,OLD,20259626,마이클,2026-05-13,23748900,1.1,-5233250,-18.1,17629508340,2142,-551,-20.5,1602511,200,249,2026-06-19,2026-08-15 15:58:15
10,1,OLD,19960126,비포 선라이즈,1996-03-30,12952200,0.6,-7191450,-35.7,831724806,1209,-723,-37.4,94778,91,126,2026-06-19,2026-08-15 15:58:15
