rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20243561,어쩔수가없다,2025-09-24,782555190,42.8,-1747079600,-69.1,11247224040,79230,-161025,-67,1152895,1589,5824,2025-09-29,2026-08-15 16:17:57
2,0,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,521656450,28.5,-662361360,-55.9,5548924150,49160,-56408,-53.4,523631,892,3236,2025-09-29,2026-08-15 16:17:57
3,0,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,144893500,7.9,-338139960,-70,54370459300,13813,-31024,-69.2,5010087,648,1222,2025-09-29,2026-08-15 16:17:57
4,0,OLD,20242964,얼굴,2025-09-11,113012530,6.2,-241635680,-68.1,9468689130,11510,-22511,-66.2,918897,694,1544,2025-09-29,2026-08-15 16:17:57
5,3,OLD,20254501,F1 더 무비,2025-06-25,20160200,1.1,-16876680,-45.6,54423399970,2892,-2404,-45.4,5145725,228,273,2025-09-29,2026-08-15 16:17:57
6,1,OLD,20030047,모노노케 히메,2003-04-25,26101300,1.4,-38663740,-59.7,2053836630,2683,-3345,-55.5,167480,267,311,2025-09-29,2026-08-15 16:17:57
7,0,NEW,20228988,보스,2025-10-03,21762000,1.2,21762000,100,42359000,2418,2418,100,4593,13,13,2025-09-29,2026-08-15 16:17:57
8,-3,OLD,20256526,브레드이발소: 베이커리타운의 악당들,2025-09-27,11777300,0.6,-290084500,-96.1,691793300,1393,-31039,-95.7,73966,176,212,2025-09-29,2026-08-15 16:17:57
9,1,OLD,20256864,프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,33055900,1.8,-45644600,-58,1243611300,1337,-1844,-58,50640,122,160,2025-09-29,2026-08-15 16:17:57
10,-1,OLD,20257095,명탐정 코난: 17년 전의 진상,2025-09-19,13003500,0.7,-32198800,-71.2,772924400,1236,-3043,-71.1,72837,170,226,2025-09-29,2026-08-15 16:17:57
