rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20254121,살목지,2026-04-08,435423360,24.8,35662950,8.9,16438018950,43400,3711,9.4,1591894,1172,4155,2026-04-22,2026-08-11 11:43:29
2,0,NEW,20262685,란 12.3,2026-04-22,371416510,21.2,371416510,100,382479510,37037,37037,100,38078,842,2156,2026-04-22,2026-08-11 11:43:29
3,0,NEW,20240532,짱구,2026-04-22,246020890,14.0,246020890,100,298155690,26848,26848,100,31893,693,1672,2026-04-22,2026-08-11 11:43:29
4,-2,OLD,20261782,프로젝트 헤일메리,2026-03-18,202128560,11.5,33428210,19.8,26475731120,17656,2764,18.6,2346688,718,1657,2026-04-22,2026-08-11 11:43:29
5,-2,OLD,20242837,왕과 사는 남자,2026-02-04,102077760,5.8,-22982510,-18.4,160505368880,10893,-2735,-20.1,16628353,611,1333,2026-04-22,2026-08-11 11:43:29
6,-2,OLD,20247648,내 이름은,2026-04-15,73581450,4.2,-5142360,-6.5,1127547890,8333,-1465,-15,126984,552,977,2026-04-22,2026-08-11 11:43:29
7,0,NEW,20262657,리 크로닌의 미이라,2026-04-22,65681090,3.7,65681090,100,78486090,6378,6378,100,7652,368,610,2026-04-22,2026-08-11 11:43:29
8,0,NEW,20262775,기동전사 건담: 섬광의 하사웨이 키르케의 마녀,2026-04-22,78196000,4.5,78196000,100,78196000,5076,5076,100,5076,90,149,2026-04-22,2026-08-11 11:43:29
9,0,NEW,20262776,르누아르,2026-04-22,21917500,1.2,21917500,100,29474500,3468,3468,100,4209,127,239,2026-04-22,2026-08-11 11:43:29
10,-4,OLD,20070602,마녀배달부 키키,2007-11-22,29680400,1.7,10944070,58.4,999477374,3253,1447,80.1,104074,119,141,2026-04-22,2026-08-11 11:43:29
