rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20261782,프로젝트 헤일메리,2026-03-18,1287677850,39.8,-402224130,-23.8,18514102640,117008,-36833,-23.9,1635396,1376,3915,2026-04-05,2026-08-15 16:03:38
2,0,OLD,20242837,왕과 사는 남자,2026-02-04,947523480,29.3,-292990320,-23.6,155330717870,94406,-29391,-23.7,16091664,1353,5104,2026-04-05,2026-08-15 16:03:38
3,1,OLD,20192680,끝장수사,2026-04-02,128078710,4.0,-30366340,-19.2,525555460,13346,-3241,-19.5,56313,687,1292,2026-04-05,2026-08-15 16:03:38
4,-1,OLD,20261666,네가 마지막으로 남긴 노래,2026-04-01,125077090,3.9,-61016760,-32.8,559438760,11758,-5000,-29.8,54007,565,1071,2026-04-05,2026-08-15 16:03:38
5,0,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,149204400,4.6,-58054800,-28,62459034250,11077,-3841,-25.7,5782526,90,239,2026-04-05,2026-08-15 16:03:38
6,0,OLD,20256283,호퍼스,2026-03-04,92007070,2.8,-21396450,-18.9,7280337000,9077,-2325,-20.4,738056,463,655,2026-04-05,2026-08-15 16:03:38
7,0,OLD,20254121,살목지,2026-04-08,90617700,2.8,-6719100,-6.9,300459200,7565,-493,-6.1,26721,112,140,2026-04-05,2026-08-15 16:03:38
8,0,OLD,20261906,명탐정 코난: 세기말의 마술사,2026-03-27,54478750,1.7,-8371000,-13.3,829952600,5531,-780,-12.4,80212,200,307,2026-04-05,2026-08-15 16:03:38
9,2,OLD,20226489,리바운드,2023-04-05,34514400,1.1,7697230,28.7,6781869188,3029,704,30.3,706398,167,182,2026-04-05,2026-08-15 16:03:38
10,-1,OLD,20262179,펫 트레인,2026-03-28,20880550,0.6,-5939300,-22.1,139937000,2748,-817,-22.9,18567,132,165,2026-04-05,2026-08-15 16:03:38
