rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20242964,얼굴,2025-09-11,1191902180,28.4,659103800,123.7,6570232810,113135,61995,121.2,632167,1114,4024,2025-09-20,2026-08-15 16:18:03
2,0,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,1075649120,25.6,629709820,141.2,51270730770,94619,54779,137.5,4722756,1095,3289,2025-09-20,2026-08-15 16:18:03
3,1,OLD,20030047,모노노케 히메,2003-04-25,240145750,5.7,123791730,106.4,1469912410,21595,10786,99.8,112015,589,1002,2025-09-20,2026-08-15 16:18:03
4,-1,OLD,20257095,명탐정 코난: 17년 전의 진상,2025-09-19,185767100,4.4,6592800,3.7,364941400,17251,1058,6.5,33444,266,664,2025-09-20,2026-08-15 16:18:03
5,0,OLD,20254501,F1 더 무비,2025-06-25,118468800,2.8,47930940,68,54079802470,16795,6783,67.7,5096926,540,875,2025-09-20,2026-08-15 16:18:03
6,0,OLD,20245485,귀시,2025-09-17,148477920,3.5,51090070,52.5,433272070,14469,5093,54.3,43202,599,1102,2025-09-20,2026-08-15 16:18:03
7,0,OLD,20256864,프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,264754500,6.3,59166400,28.8,591765700,10658,2349,28.3,24035,169,390,2025-09-20,2026-08-15 16:18:03
8,1,OLD,20256702,컨저링: 마지막 의식,2025-09-03,107337600,2.6,37793300,54.3,4261059490,9693,3375,53.4,404383,457,634,2025-09-20,2026-08-15 16:18:03
9,-1,OLD,20233039,살인자 리포트,2025-09-05,100443400,2.4,19345200,23.9,3446124500,9594,1392,17,344389,557,915,2025-09-20,2026-08-15 16:18:03
10,1,OLD,20241941,좀비딸,2025-07-30,48874300,1.2,21070580,75.8,52887076210,7041,3027,75.4,5605010,401,522,2025-09-20,2026-08-15 16:18:03
