rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20250654,오디세이,2026-08-05,2672173870,45.2,-464381370,-14.8,5838120110,246220,-46487,-15.9,541294,1660,4912,2026-08-06,2026-08-11 11:42:27
2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,2367870110,40.1,-357457620,-13.1,48761872810,238064,-37109,-13.5,4651629,1694,5675,2026-08-06,2026-08-11 11:42:27
3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,386347380,6.5,-273238100,-41.4,1363938980,43768,-29397,-40.2,144343,801,1698,2026-08-06,2026-08-11 11:42:27
4,0,OLD,20233219,호프,2026-07-15,261930550,4.4,-29021620,-10,46031560410,27200,-2868,-9.5,4292981,688,1163,2026-08-06,2026-08-11 11:42:27
5,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,38688200,0.7,-7229050,-15.7,7461842690,4646,-651,-12.3,748676,284,313,2026-08-06,2026-08-11 11:42:27
6,0,NEW,20255484,오케이 마담2,2026-08-12,40203000,0.7,40203000,100,71416000,4467,4467,100,7874,25,25,2026-08-06,2026-08-11 11:42:27
7,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,33483050,0.6,-5541720,-14.2,377065150,3420,-712,-17.2,37698,78,143,2026-08-06,2026-08-11 11:42:27
8,-1,OLD,20259781,토이 스토리 5,2026-06-17,24128200,0.4,-1860550,-7.2,30146318860,2665,-103,-3.7,2932987,148,154,2026-08-06,2026-08-11 11:42:27
9,0,OLD,20262902,다윗,2026-07-10,14737500,0.2,2016900,15.9,2649418290,1607,217,15.6,272490,77,81,2026-08-06,2026-08-11 11:42:27
10,-2,OLD,20259946,모아나,2026-07-08,13807550,0.2,-6151710,-30.8,10789276180,1536,-789,-33.9,1017660,106,113,2026-08-06,2026-08-11 11:42:27
