rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20250654,오디세이,2026-08-05,2613336770,56.6,-214623300,-7.6,25939564820,236219,-21393,-8.3,2368594,1697,5075,2026-08-11,2026-08-15 15:56:54
2,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,1538527900,33.3,-234977400,-13.2,65193210240,151901,-22710,-13,6242875,1618,5552,2026-08-11,2026-08-15 15:56:54
3,0,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,169298340,3.7,-5038870,-2.9,4446102610,19207,-203,-1,472419,755,1509,2026-08-11,2026-08-15 15:56:54
4,0,OLD,20233219,호프,2026-07-15,142342040,3.1,-4030830,-2.8,47379700600,14078,-445,-3.1,4422472,580,977,2026-08-11,2026-08-15 15:56:54
5,0,OLD,20264148,어떻게 해야 했을까?,2026-07-29,26766300,0.6,3862150,16.9,549843950,2696,379,16.4,54741,70,127,2026-08-11,2026-08-15 15:56:54
6,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,23066750,0.5,3829250,19.9,7635134570,2689,496,22.6,768172,222,233,2026-08-11,2026-08-15 15:56:54
7,0,OLD,20259781,토이 스토리 5,2026-06-17,17324500,0.4,6520350,60.4,30236716890,1862,750,67.4,2942352,121,127,2026-08-11,2026-08-15 15:56:54
8,6,OLD,20264879,청년 조용기,2026-09-11,11560000,0.3,9643000,503,20036000,1193,980,460.1,2055,6,10,2026-08-11,2026-08-15 15:56:54
9,0,OLD,20259946,모아나,2026-07-08,10258450,0.2,2967950,40.7,10838774380,1172,346,41.9,1022931,64,67,2026-08-11,2026-08-15 15:56:54
10,-2,OLD,20262902,다윗,2026-07-10,8774150,0.2,-394000,-4.3,2825241480,964,6,0.6,291272,64,67,2026-08-11,2026-08-15 15:56:54
