rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20259781,토이 스토리 5,2026-06-17,2945933060,61.6,-528964360,-15.2,9078668640,287035,-48691,-14.5,872381,1837,8198,2026-06-21,2026-08-15 15:58:08
2,0,OLD,20252402,군체,2026-05-21,652418230,13.6,-266991240,-29,58321394180,63119,-24464,-27.9,5527506,952,2837,2026-06-21,2026-08-15 15:58:08
3,0,OLD,20248252,와일드 씽,2026-06-03,453639610,9.5,-169320990,-27.2,10684364540,45799,-16743,-26.8,1100543,800,2360,2026-06-21,2026-08-15 15:58:08
4,0,OLD,20263030,백룸,2026-05-27,247341780,5.2,-63800020,-20.5,11583660960,22444,-5970,-21,1086746,554,988,2026-06-21,2026-08-15 15:58:08
5,0,OLD,20248484,신사: 악귀의 속삭임,2026-06-17,77449100,1.6,-28820850,-27.1,345897400,6973,-2628,-27.4,33418,217,347,2026-06-21,2026-08-15 15:58:08
6,0,OLD,20250655,디스클로저 데이,2026-06-10,60393110,1.3,-18159020,-23.1,2626914100,5946,-1723,-22.5,243254,436,577,2026-06-21,2026-08-15 15:58:08
7,0,OLD,20259626,마이클,2026-05-13,45799990,1.0,-9016820,-16.4,17730125140,4335,-695,-13.8,1611876,195,232,2026-06-21,2026-08-15 15:58:08
8,0,OLD,20149629,비긴 어게인,2014-08-13,37627100,0.8,-21526400,-36.4,29770421821,3242,-1524,-32,3729396,117,174,2026-06-21,2026-08-15 15:58:08
9,0,OLD,20261766,상자 속의 양,2026-06-10,24728500,0.5,-6705990,-21.3,579844100,2580,-721,-21.8,63712,198,223,2026-06-21,2026-08-15 15:58:08
10,3,OLD,20264331,디어 마이 히어로, ,12375000,0.3,4860000,64.7,78610000,2475,972,64.7,15722,153,185,2026-06-21,2026-08-15 15:58:08
