rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,32,OLD,20242964,얼굴,2025-09-11,343731750,22.6,340751750,11434.6,346711750,35018,34720,11651,35316,940,3368,2025-09-11,2026-08-15 16:18:44
2,-1,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,365172380,24.1,-71707100,-16.4,44736532730,33824,-7352,-17.9,4135531,1073,3115,2025-09-11,2026-08-15 16:18:44
3,-1,OLD,20233039,살인자 리포트,2025-09-05,134253290,8.8,-51528500,-27.7,2228251350,13595,-5197,-27.7,227214,700,1336,2025-09-11,2026-08-15 16:18:44
4,-1,OLD,20254501,F1 더 무비,2025-06-25,87272440,5.7,-36532510,-29.5,53085298920,11605,-4520,-28,4960942,553,928,2025-09-11,2026-08-15 16:18:44
5,-1,OLD,20256702,컨저링: 마지막 의식,2025-09-03,121099120,8.0,-32915350,-21.4,3033014730,11276,-3231,-22.3,292741,601,1108,2025-09-11,2026-08-15 16:18:44
6,-1,OLD,20247245,홈캠,2025-09-10,61665700,4.1,-46512700,-43,181127100,7320,-5986,-45,22029,245,723,2025-09-11,2026-08-15 16:18:44
7,0,OLD,20241941,좀비딸,2025-07-30,47559300,3.1,-21781900,-31.4,52354132890,6919,-2888,-29.4,5528267,492,715,2025-09-11,2026-08-15 16:18:44
8,-2,OLD,20030047,모노노케 히메,2003-04-25,88759500,5.8,-82500000,-48.2,275625000,4864,-5075,-51.1,16022,26,114,2025-09-11,2026-08-15 16:18:44
9,0,NEW,20040590,퍼펙트 블루,2004-05-26,48435250,3.2,48435250,100,52376250,4319,4319,100,4882,138,248,2025-09-11,2026-08-15 16:18:44
10,-2,OLD,20257083,건국전쟁2 ,2025-09-10,23700550,1.6,-8934350,-27.4,63579950,2548,-857,-25.2,6702,349,538,2025-09-11,2026-08-15 16:18:44
