rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,19,OLD,20259626,마이클,2026-05-13,1048765650,55.2,1046770650,52469.7,1239101650,99902,99687,46366,118488,1734,6157,2026-05-13,2026-08-15 16:00:06
2,-1,OLD,20259791,악마는 프라다를 입는다 2,2026-04-29,292037450,15.4,59022320,25.3,12926203460,29970,6681,28.7,1299732,817,2285,2026-05-13,2026-08-15 16:00:06
3,-1,OLD,20254121,살목지,2026-04-08,158754100,8.4,22952710,16.9,31411235490,16441,3043,22.7,3067157,728,1841,2026-05-13,2026-08-15 16:00:06
4,-1,OLD,20261782,프로젝트 헤일메리,2026-03-18,70766810,3.7,-22027370,-23.7,31825944130,7048,-464,-6.2,2804575,356,495,2026-05-13,2026-08-15 16:00:06
5,-1,OLD,20259773,슈퍼 마리오 갤럭시,2026-04-29,59740620,3.1,-13167680,-18.1,12929971620,6561,-789,-10.7,1339807,519,838,2026-05-13,2026-08-15 16:00:06
6,-1,OLD,20242837,왕과 사는 남자,2026-02-04,37597000,2.0,-4727220,-11.2,162613237550,4625,-250,-5.1,16846467,266,335,2026-05-13,2026-08-15 16:00:06
7,0,NEW,20252801,교생실습,2026-05-13,32963550,1.7,32963550,100,48736550,3707,3707,100,5801,253,394,2026-05-13,2026-08-15 16:00:06
8,-2,OLD,20240532,짱구,2026-04-22,30379100,1.6,-10722750,-26.1,3785166230,3306,-864,-20.7,388532,324,445,2026-05-13,2026-08-15 16:00:06
9,0,NEW,20040695,이프 온리,2004-10-29,30361050,1.6,30361050,100,6983325760,2988,2988,100,1040634,223,309,2026-05-13,2026-08-15 16:00:06
10,0,NEW,20194376,탑건: 매버릭,2022-06-22,27551250,1.5,27551250,100,88564987444,2718,2718,100,8252163,111,174,2026-05-13,2026-08-15 16:00:06
