rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20242837,왕과 사는 남자,2026-02-04,1820225790,83.4,-5211058430,-74.1,90606880200,194476,-534439,-73.3,9407753,1800,7489,2026-03-03,2026-08-15 16:05:49
2,0,OLD,20241266,휴민트,2026-02-11,103348800,4.7,-311860800,-75.1,18905424760,10756,-30748,-74.1,1874426,659,1647,2026-03-03,2026-08-15 16:05:49
3,2,OLD,20259583,초속 5센티미터,2026-02-25,32780000,1.5,-49375150,-60.1,674961440,3542,-4622,-56.6,71293,444,748,2026-03-03,2026-08-15 16:05:49
4,3,OLD,20257744,28년 후: 뼈의 사원,2026-02-27,26394760,1.2,-26709400,-50.3,310559850,2632,-2346,-47.1,29175,379,564,2026-03-03,2026-08-15 16:05:49
5,-1,OLD,20247457,신의악단,2025-12-31,20551700,0.9,-89200710,-81.3,13402632620,2242,-8968,-80,1405190,295,369,2026-03-03,2026-08-15 16:05:49
6,2,OLD,20250365,햄넷,2026-02-25,20622620,0.9,-24545930,-54.3,309078180,2231,-2391,-51.7,32669,302,390,2026-03-03,2026-08-15 16:05:49
7,2,OLD,20252373,넘버원,2026-02-11,17536040,0.8,-21346260,-54.9,2627118620,2035,-1915,-48.5,274772,191,235,2026-03-03,2026-08-15 16:05:49
8,-2,OLD,20261181,너자 2,2026-02-25,14593700,0.7,-50436000,-77.6,393893200,1840,-5094,-73.5,43622,203,331,2026-03-03,2026-08-15 16:05:49
9,2,OLD,20250428,센티멘탈 밸류,2026-02-18,10367570,0.5,-16685590,-61.7,420302580,1101,-1564,-58.7,42895,101,110,2026-03-03,2026-08-15 16:05:49
10,0,NEW,20258074,아르코,2026-03-11,9387000,0.4,9387000,100,25631870,1043,1043,100,2665,8,8,2026-03-03,2026-08-15 16:05:49
