rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20252432,주토피아 2,2025-11-26,6508786460,81.6,-388356900,-5.6,20153352710,664337,-36453,-5.2,2106866,2369,10422,2025-11-30,2026-08-15 16:16:38
2,0,OLD,20255381,위키드: 포 굿,2025-11-19,493145190,6.2,-122898570,-19.9,8055284900,48017,-9781,-16.9,781928,967,1945,2025-11-30,2026-08-15 16:16:38
3,0,OLD,20258383,나우 유 씨 미 3,2025-11-12,424554150,5.3,-46406330,-9.9,11862578410,44450,-4087,-8.4,1252092,805,1852,2025-11-30,2026-08-15 16:16:38
4,0,OLD,20256757,극장판 체인소 맨: 레제편,2025-09-24,124784300,1.6,-87627090,-41.3,35226317690,12507,-8082,-39.3,3349683,429,564,2025-11-30,2026-08-15 16:16:38
5,0,OLD,20257161,국보,2025-11-19,90041680,1.1,-8999620,-9.1,1085554990,9329,-634,-6.4,115326,315,398,2025-11-30,2026-08-15 16:16:38
6,0,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,56062940,0.7,3510250,6.7,61036653920,5370,358,7.1,5662697,117,126,2025-11-30,2026-08-15 16:16:38
7,0,OLD,20247429,세계의 주인,2025-10-22,37827350,0.5,-7507370,-16.6,1484771910,3856,-801,-17.2,153364,114,166,2025-11-30,2026-08-15 16:16:38
8,0,OLD,20233259,정보원,2025-12-03,41025300,0.5,949250,2.4,108846350,3368,93,2.8,9241,36,36,2025-11-30,2026-08-15 16:16:38
9,0,OLD,20242374,한란,2025-11-26,23016160,0.3,-26490,-0.1,122607110,2570,-63,-2.4,15325,229,276,2025-11-30,2026-08-15 16:16:38
10,1,OLD,20243405,나혼자 프린스,2025-11-19,16309500,0.2,-1004400,-5.8,475088310,1585,-61,-3.7,52636,188,237,2025-11-30,2026-08-15 16:16:38
