rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20259626,마이클,2026-05-13,479831820,47.6,-1561360430,-76.5,7810507790,43653,-135372,-75.6,691545,1534,5202,2026-05-18,2026-08-11 11:43:12
2,1,OLD,20259791,악마는 프라다를 입는다 2,2026-04-29,151073870,15.0,-299582460,-66.5,14678526090,14277,-25867,-64.4,1458463,774,2200,2026-05-18,2026-08-11 11:43:12
3,1,OLD,20254121,살목지,2026-04-08,95426650,9.5,-257575440,-73,32638434410,8793,-23338,-72.6,3178501,622,1583,2026-05-18,2026-08-11 11:43:12
4,1,OLD,20261782,프로젝트 헤일메리,2026-03-18,43297140,4.3,-103478900,-70.5,32345957350,3965,-9159,-69.8,2851109,391,580,2026-05-18,2026-08-11 11:43:12
5,-3,OLD,20259773,슈퍼 마리오 갤럭시,2026-04-29,36799980,3.6,-560254400,-93.8,14270279130,3642,-55425,-93.8,1473128,444,685,2026-05-18,2026-08-11 11:43:12
6,0,NEW,20248252,와일드 씽,2026-06-03,22216000,2.2,22216000,100,24210000,2440,2440,100,2652,8,9,2026-05-18,2026-08-11 11:43:12
7,0,OLD,20242837,왕과 사는 남자,2026-02-04,22702700,2.2,-28010470,-55.2,162808571490,2426,-2428,-50,16866305,261,348,2026-05-18,2026-08-11 11:43:12
8,0,NEW,20252402,군체,2026-05-21,20498000,2.0,20498000,100,24308000,1941,1941,100,2347,9,9,2026-05-18,2026-08-11 11:43:12
9,-1,OLD,20040695,이프 온리,2004-10-29,20203150,2.0,-35332240,-63.6,7176120920,1830,-2990,-62,1057420,210,290,2026-05-18,2026-08-11 11:43:12
10,-1,OLD,20240532,짱구,2026-04-22,17974100,1.8,-31479300,-63.7,3961106320,1790,-2886,-61.7,405647,264,364,2026-05-18,2026-08-11 11:43:12
